I NEAREST FINAL TOUR
0 40583 40379 8 37 30 43 17 6 27 35 29 5 36 18 26 42 16 32 45 14 11 10 22 13 24 12 20 46 19 39 2 21 15 40 33 28 4 47 38 31 23 9 41 25 3 34 44 1 0 7 8 
1 39232 37679 1 28 40 33 2 15 21 30 37 7 0 8 39 19 42 16 26 18 36 5 29 35 27 6 17 43 45 32 14 11 12 24 13 22 10 46 20 31 38 47 4 41 9 23 44 34 25 3 1 
2 41021 41021 2 21 15 0 8 37 30 43 17 6 27 35 29 5 36 18 26 42 16 32 45 14 11 10 22 13 24 12 20 46 19 39 7 40 33 28 4 47 38 31 23 9 41 25 3 34 44 1 2 
3 39484 37828 3 25 1 28 40 33 2 15 21 30 37 7 0 8 39 19 42 16 26 18 36 5 29 35 27 6 17 43 45 32 14 11 12 24 13 22 10 46 20 31 38 47 4 41 23 9 34 44 3 
4 39242 39242 4 47 38 31 20 46 10 22 13 24 12 11 14 32 45 43 17 6 27 35 29 5 36 18 26 42 16 19 39 8 0 7 37 30 21 15 2 33 40 28 1 41 9 23 44 34 25 3 4 
5 42584 40954 5 36 18 26 16 42 44 34 3 25 41 9 23 31 38 47 4 28 1 40 33 13 24 12 20 46 19 39 45 32 14 11 10 22 2 15 21 7 0 8 37 30 43 35 17 6 27 29 5 
6 42982 41277 6 17 35 27 5 36 18 26 16 29 42 44 34 3 25 41 9 23 31 38 47 4 28 1 40 33 13 24 12 20 46 19 39 45 32 14 11 10 22 2 15 21 7 0 8 37 30 43 6 
7 40583 40379 7 0 1 44 34 3 25 41 9 23 31 38 47 4 28 33 40 15 21 2 39 19 46 20 12 24 13 22 10 11 14 45 32 16 42 26 18 36 5 29 35 27 6 17 43 30 37 8 7 
8 40797 40379 0 7 8 37 30 43 17 6 27 35 29 5 36 18 26 42 16 32 45 14 11 10 22 13 24 12 20 46 19 39 2 21 15 40 33 28 4 47 38 31 23 9 41 25 3 34 44 1 0 
9 37897 37544 9 23 41 4 47 38 31 20 46 10 22 13 24 12 11 14 32 45 43 17 6 27 35 29 5 36 18 26 16 42 19 39 8 0 7 37 30 21 15 2 33 40 28 1 25 3 34 44 9 
10 40914 40591 10 22 13 24 12 20 46 19 32 45 14 11 39 8 0 7 37 30 43 17 6 27 35 29 5 36 18 26 16 42 2 21 15 40 33 28 4 47 38 31 23 9 41 25 3 34 44 1 10 
11 41912 41586 11 14 32 45 43 17 6 27 35 29 5 36 18 26 42 16 19 46 10 22 13 24 12 20 38 31 47 4 28 1 41 9 23 44 34 25 3 40 7 39 30 37 8 0 15 21 2 33 11 
12 41404 40749 12 24 13 22 10 11 14 32 45 43 17 6 27 35 29 5 36 18 26 42 16 19 46 20 38 31 47 4 28 1 41 9 23 44 34 25 3 40 7 39 30 37 8 0 15 21 2 33 12 
13 40878 40199 13 24 12 22 10 11 14 32 45 43 17 6 27 35 29 5 36 18 26 42 16 19 46 20 38 31 47 4 28 1 41 9 23 44 34 25 3 40 7 39 30 37 8 0 15 21 2 33 13 
14 41919 41736 14 11 32 45 43 17 6 27 35 29 5 36 18 26 42 16 19 46 10 22 13 24 12 20 38 31 47 4 28 1 41 9 23 44 34 25 3 40 7 39 30 37 8 0 15 21 2 33 14 
15 41580 41580 15 21 2 22 10 11 14 32 45 43 17 6 27 35 29 5 36 18 26 42 16 19 46 20 12 24 13 33 40 28 4 47 38 31 23 9 41 25 3 34 44 1 39 8 0 7 37 30 15 
16 42597 41315 16 26 18 36 5 29 44 34 3 25 41 9 23 31 38 47 4 28 1 40 33 13 24 12 20 46 19 39 45 32 14 11 10 22 2 15 21 7 0 8 37 30 43 35 17 6 27 42 16 
17 42618 41483 17 6 27 16 42 26 18 36 5 29 44 34 3 25 41 9 23 31 38 47 4 28 1 40 33 13 24 12 20 46 19 39 45 32 14 11 10 22 2 15 21 7 0 8 37 30 43 35 17 
18 42753 41483 18 36 5 29 44 34 3 25 41 9 23 31 38 47 4 28 1 40 33 13 24 12 20 46 19 39 45 32 14 11 10 22 2 15 21 7 0 8 37 30 43 35 17 6 27 16 42 26 18 
19 42451 42451 19 32 45 14 11 10 22 13 24 12 20 46 39 8 0 7 37 30 43 17 6 27 35 29 5 36 18 26 42 16 2 21 15 40 33 28 4 47 38 31 23 9 41 25 3 34 44 1 19 
20 42027 41349 20 46 10 22 13 24 12 38 31 47 4 28 1 41 9 23 44 34 25 3 40 7 39 19 11 14 45 32 16 42 26 18 36 5 29 35 27 6 17 43 30 37 8 0 15 21 2 33 20 
21 41530 41530 21 15 2 22 10 11 14 32 45 43 17 6 27 35 29 5 36 18 26 42 16 19 46 20 12 24 13 33 40 28 4 47 38 31 23 9 41 25 3 34 44 1 39 8 0 7 37 30 21 
22 41815 41431 22 10 11 14 32 45 43 17 6 27 35 29 5 36 18 26 42 16 19 46 20 12 24 1 44 34 3 25 41 9 23 31 38 47 4 28 40 7 39 30 37 8 0 15 21 2 33 13 22 
23 37921 37568 23 9 41 4 47 38 31 20 46 10 22 13 24 12 11 14 32 45 43 17 6 27 35 29 5 36 18 26 16 42 19 39 8 0 7 37 30 21 15 2 33 40 28 1 25 3 34 44 23 
24 41434 41434 24 13 22 10 11 14 32 45 43 17 6 27 35 29 5 36 18 26 42 16 19 46 20 12 38 31 47 4 28 1 41 9 23 44 34 25 3 33 2 21 15 0 8 37 30 39 7 40 24 
25 39677 37913 25 3 1 28 40 33 2 15 21 30 37 7 0 8 39 19 42 16 26 18 36 5 29 35 27 6 17 43 45 32 14 11 12 24 13 22 10 46 20 31 38 47 4 41 23 9 34 44 25 
26 42626 41483 26 18 36 5 29 44 34 3 25 41 9 23 31 38 47 4 28 1 40 33 13 24 12 20 46 19 39 45 32 14 11 10 22 2 15 21 7 0 8 37 30 43 35 17 6 27 16 42 26 
27 42152 41483 27 6 17 35 43 30 37 8 0 7 21 15 2 22 10 11 14 32 45 39 19 46 20 12 24 13 33 40 1 28 4 47 38 31 23 9 41 25 3 34 44 29 5 36 18 26 42 16 27 
28 39755 39755 28 4 47 38 31 20 46 10 22 13 24 12 11 14 32 45 43 17 6 27 35 29 5 36 18 26 42 16 19 39 8 0 7 37 30 21 15 2 33 40 1 41 9 23 44 34 25 3 28 
29 42152 41483 29 5 36 18 26 42 16 27 6 17 35 43 30 37 8 0 7 21 15 2 22 10 11 14 32 45 39 19 46 20 12 24 13 33 40 1 28 4 47 38 31 23 9 41 25 3 34 44 29 
30 42977 41553 30 43 17 6 27 35 29 5 36 18 26 42 16 32 45 14 11 10 22 13 24 12 20 46 19 39 8 7 0 1 44 34 3 25 41 9 23 31 38 47 4 28 40 33 2 15 21 37 30 
31 40503 39035 31 38 24 13 22 10 11 14 32 45 43 17 6 27 35 29 5 36 18 26 42 16 19 46 20 12 33 2 21 15 0 8 37 30 39 7 40 28 1 3 25 34 44 23 9 41 47 4 31 
32 40836 40772 32 45 14 11 10 22 13 24 12 20 46 19 35 17 6 27 5 29 42 26 18 36 16 43 30 37 8 0 7 21 15 2 33 40 28 4 47 38 31 23 9 41 25 3 34 44 1 39 32 
33 40168 40168 33 13 24 12 22 10 11 14 32 45 43 17 6 27 35 29 5 36 18 26 42 16 19 46 20 38 31 47 4 28 1 41 9 23 44 34 25 3 40 15 21 2 39 8 0 7 37 30 33 
34 37897 37544 34 44 9 23 41 4 47 38 31 20 46 10 22 13 24 12 11 14 32 45 43 17 6 27 35 29 5 36 18 26 16 42 19 39 8 0 7 37 30 21 15 2 33 40 28 1 25 3 34 
35 42666 41307 35 17 6 27 5 36 18 26 16 29 42 44 34 3 25 41 9 23 31 38 47 4 28 1 40 33 13 24 12 20 46 19 39 45 32 14 11 10 22 2 15 21 7 0 8 37 30 43 35 
36 42444 41562 36 18 26 42 29 5 27 6 17 35 43 30 37 8 0 7 21 15 2 22 10 11 14 32 45 39 19 46 20 12 24 13 33 40 1 28 4 47 38 31 23 9 41 25 3 34 44 16 36 
37 41649 40526 37 30 43 17 6 27 35 29 5 36 18 26 42 16 32 45 14 11 10 22 13 24 12 20 46 19 39 1 44 34 3 25 41 9 23 31 38 47 4 28 40 33 2 15 21 7 0 8 37 
38 39806 39806 38 31 20 46 10 22 13 24 12 11 14 32 45 43 17 6 27 35 29 5 36 18 26 42 16 19 39 8 0 7 37 30 21 15 2 33 40 28 4 47 41 9 23 44 34 25 3 1 38 
39 40762 40762 39 14 11 32 45 43 17 6 27 35 29 5 36 18 26 42 16 19 46 10 22 13 24 12 20 38 31 47 4 28 1 41 9 23 44 34 25 3 33 2 21 15 0 8 37 30 7 40 39 
40 40898 40270 40 33 13 12 24 3 25 34 44 23 9 41 1 28 4 47 31 38 20 46 19 16 42 26 18 36 5 29 35 27 6 17 43 45 32 14 11 10 22 2 21 15 0 8 37 30 39 7 40 
41 39232 37679 41 9 23 44 34 25 3 1 28 40 33 2 15 21 30 37 7 0 8 39 19 42 16 26 18 36 5 29 35 27 6 17 43 45 32 14 11 12 24 13 22 10 46 20 31 38 47 4 41 
42 42155 40954 26 18 36 5 29 27 6 17 35 43 30 37 8 0 7 21 15 2 22 10 11 14 32 45 39 19 46 20 12 24 13 33 40 1 28 4 47 38 31 23 9 41 25 3 34 44 42 16 26 
43 43807 43104 43 17 6 27 35 29 5 36 18 26 42 16 32 45 14 11 10 22 13 24 12 20 46 19 39 8 0 7 37 1 44 34 3 25 41 9 23 31 38 47 4 28 40 33 2 15 21 30 43 
44 38181 37828 44 34 9 23 41 4 47 38 31 20 46 10 22 13 24 12 11 14 32 45 43 17 6 27 35 29 5 36 18 26 16 42 19 39 8 0 7 37 30 21 15 2 33 40 28 1 25 3 44 
45 40739 40675 45 32 14 11 10 22 13 24 12 20 46 19 35 17 6 27 5 29 42 26 18 36 16 43 30 37 8 0 7 21 15 2 33 40 28 4 47 38 31 23 9 41 25 3 34 44 1 39 45 
46 41806 41236 46 10 22 13 24 12 20 38 31 47 4 28 1 41 9 23 44 34 25 3 40 7 39 19 11 14 45 32 16 42 26 18 36 5 29 35 27 6 17 43 30 37 8 0 15 21 2 33 46 
47 40758 40063 47 4 28 1 41 9 23 44 34 25 3 40 33 2 15 21 30 37 7 0 8 39 19 16 42 26 18 36 5 29 35 27 6 17 43 45 32 14 11 12 24 13 22 10 46 20 31 38 47 
